episode,score,avg_score
392,-95.98687675930545,-78.91750887488973
393,-67.54486404143827,-79.12074828956972
394,-84.77818438295087,-79.57981641388588
395,-296.1760799424196,-79.02397284017032
396,-211.90637673445428,-80.33456630274459
397,-51.98883921424725,-80.00251576747671
398,-51.10501920552815,-79.88155431699103
399,-102.08942994859267,-80.55885210182284
400,-35.533348109410255,-79.85295870466332
401,-145.89636824977023,-80.2002103882985
402,-31.810374203605434,-79.19708098113325
403,-65.04536425498345,-78.88698467214743
404,-47.04767161097941,-78.52962732072857
405,-34.620323459942824,-78.25023918262136
406,-16.133789790387127,-77.40483090967781
407,-42.459808146220716,-77.31377538752275
408,-20.376875854801725,-76.46391331405242
409,-73.744679303759,-76.51839136872753
410,-54.610101055685874,-76.50389777070714
411,-89.70444115837297,-76.76837604401645
412,-169.23978911185395,-78.35653053789052
413,-70.7834722571847,-78.7178338974597
414,-223.67441322773692,-80.36155946940963
415,-109.74491446398008,-80.87400220974611
416,-40.13696954670452,-80.73109181795203
417,-27.547210246547166,-80.40298481764167
418,-87.2649814158278,-80.79647354001224
419,-182.0804553372282,-81.96221625129841
420,-51.1232322145961,-81.79298089896587
421,-31.712622624457765,-81.20640217555265
422,-60.94495575000614,-81.24197188546505
423,-138.96708735460922,-82.28467177968581
424,-68.7669940680736,-82.44706628521024
425,-54.35901536973696,-82.68026582712206
426,-53.84384298907881,-81.02975485316489
427,-4.154382250065396,-80.36086960438566
428,-17.471320545058475,-79.76220622042366
429,-91.85551168196595,-80.08086110274543
430,-61.219514820594114,-80.18121811346417
431,-136.38609277096924,-80.47347709642627
432,-71.44167410212464,-78.82193632802311
433,-85.14759737600517,-78.91348432492214
434,-89.8187065466104,-78.88502704233736
435,-87.44722846192873,-79.00891092995256
436,-75.81228535322967,-79.14525536631923
437,-84.59364335723997,-79.62304651138375
438,-47.96286897153353,-79.45436841500859
439,0.32459075854052344,-78.75776350828208
440,-59.77254737911302,-78.7032181967349
441,-113.72258874216315,-78.3543133500194
442,-29.1316416472814,-77.99994039855594
443,-65.67051869792056,-77.23652501276915
444,-94.8508407838232,-77.03561833583223
445,-50.84911926127741,-77.0754703589689
446,-3.4547234455305897,-75.978275162909
447,-95.02568945072272,-76.1171695116871
448,-56.91902537080813,-75.37927893296923
449,-29.74492814586307,-74.99085647225601
450,-88.47052794251174,-75.12209474977611
451,-140.07937179321198,-75.04667944126506
452,-97.93173724324663,-75.45222859152862
453,-93.5884349209826,-76.05104256375279
454,-50.78358758558166,-76.02108235130987
455,-286.45189932127414,-78.50864196903329
456,7.119803855883589,-77.85738969167119
457,-97.45099097736559,-77.34513128073115
458,-35.60176491604507,-77.22203391278714
459,-46.88647850234232,-77.29154574021463
460,-26.469228989040843,-76.54534979888624
461,-4.030762367184167,-75.43438234528779
462,-128.44730478810698,-75.84392269228297
463,-33.132883390899394,-75.43934080390487
464,-71.24805786610463,-75.95874025603828
465,-61.24314873866589,-76.25785200243934
466,-90.90752090550015,-76.40646913641564
467,-19.526730251696293,-76.18479610062057
468,-40.7683287720898,-76.04139545057912
469,-71.57498839466851,-75.90851374168778
470,-61.99699810975413,-76.03732565983091
471,-163.62024373135625,-77.13652218137779
472,-76.34367615536779,-77.6109992649386
473,-23.33801882360781,-76.89656674406366
474,-4.843537441989909,-76.03940959561868
475,-110.92936109558838,-76.49340824923074
476,-72.75861493894058,-76.07498283651506
477,-153.92310363864084,-76.66136700200548
478,-8.18246244012552,-75.99082448561025
479,21.327935098937957,-75.0284363290281
480,-100.7454432795842,-75.13683435481502
481,-72.6864910227047,-74.91110399534044
482,-53.384290769532456,-74.97410607211424
483,-39.431367085213516,-74.54508420340613
484,-58.335128221770724,-75.25243308161384
485,-49.07647442490814,-74.64662310697
