episode,score,avg_score
694,1.660760711798261,-49.3294604160686
695,-55.37712816070173,-49.95053524660074
696,1.6324572294954152,-49.27731930968437
697,-14.102366299970086,-48.707576787851885
698,29.741656422994055,-48.65172949785951
699,113.35515548834493,-47.17215929325237
700,20.67417264941226,-46.131422368409694
701,0.14260423909964004,-46.26260079131972
702,2.9092152837325074,-45.54513522588456
703,-149.53599358089866,-46.10419927764847
704,-9.653927642118035,-46.24545920514123
705,70.53416070205945,-45.646184290092485
706,-54.26648940268347,-45.493228533826894
707,-3.1075553017063435,-45.51451575294176
708,1.2762201190506346,-44.73884752295819
709,-47.76425770822284,-43.07446939845221
710,-65.23346024011526,-43.02647827708593
711,-33.472827692891,-42.55666563985542
712,43.397823851290056,-41.84163787462332
713,-55.95828768711026,-41.81833587261467
714,-327.56761620427073,-44.403346039399565
715,-19.417015885566016,-45.00098355826588
716,-61.527749027033664,-44.772983466140076
717,-73.64051358154518,-44.69531146684548
718,-86.21056961130647,-45.482608283081255
719,-68.87824276765807,-45.70202473730191
720,28.81351613185646,-44.49830364999355
721,-24.83368038866739,-44.52856099475393
722,-7.959901864039608,-43.866795190850155
723,-24.197120611626218,-43.579123203344615
724,0.2288551899011111,-42.69069917368177
725,-27.855838758315613,-42.6260846086818
726,-66.08366795957635,-42.99923730869091
727,9.86689381291896,-42.58620674578197
728,-181.42186158244147,-44.558230220404795
729,-46.78774747289964,-43.056123012267406
730,7.93543863212183,-41.8905110275343
731,-24.55860084074392,-41.57486611768706
732,-43.04107582056259,-41.657584853402234
733,-107.11584530709231,-41.0867968181584
734,-10.41011650086071,-40.24362246590247
735,-31.489292251276893,-39.84658565350197
736,-40.478441010454915,-39.50356271334386
737,-93.6403860811629,-39.87675703805983
738,-1.2005424694065852,-39.3529791673275
739,-29.73260605125732,-39.80110650368156
